date,d,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI
2015-04-26,d_1549,11513,Sunday,2,4,2015,,,0,0,0
2015-04-27,d_1550,11513,Monday,3,4,2015,,,0,0,0
2015-04-28,d_1551,11513,Tuesday,4,4,2015,,,0,0,0
2015-04-29,d_1552,11513,Wednesday,5,4,2015,,,0,0,0
2015-04-30,d_1553,11513,Thursday,6,4,2015,,,0,0,0
2015-05-01,d_1554,11513,Friday,7,5,2015,,,1,1,0
2015-05-02,d_1555,11514,Saturday,1,5,2015,,,1,0,1
2015-05-03,d_1556,11514,Sunday,2,5,2015,,,1,1,1
2015-05-04,d_1557,11514,Monday,3,5,2015,,,1,0,0
2015-05-05,d_1558,11514,Tuesday,4,5,2015,Cinco De Mayo,Cultural,1,1,1
2015-05-06,d_1559,11514,Wednesday,5,5,2015,,,1,1,1
2015-05-07,d_1560,11514,Thursday,6,5,2015,,,1,1,0
2015-05-08,d_1561,11514,Friday,7,5,2015,,,1,0,1
2015-05-09,d_1562,11515,Saturday,1,5,2015,,,1,1,1
2015-05-10,d_1563,11515,Sunday,2,5,2015,Mother's day,Cultural,1,0,0
2015-05-11,d_1564,11515,Monday,3,5,2015,,,0,1,1
2015-05-12,d_1565,11515,Tuesday,4,5,2015,,,0,1,1
2015-05-13,d_1566,11515,Wednesday,5,5,2015,,,0,1,0
2015-05-14,d_1567,11515,Thursday,6,5,2015,,,0,0,1
2015-05-15,d_1568,11515,Friday,7,5,2015,,,0,1,1
2015-05-16,d_1569,11516,Saturday,1,5,2015,,,0,0,0
2015-05-17,d_1570,11516,Sunday,2,5,2015,,,0,0,0
2015-05-18,d_1571,11516,Monday,3,5,2015,,,0,0,0
2015-05-19,d_1572,11516,Tuesday,4,5,2015,,,0,0,0
2015-05-20,d_1573,11516,Wednesday,5,5,2015,,,0,0,0
2015-05-21,d_1574,11516,Thursday,6,5,2015,,,0,0,0
2015-05-22,d_1575,11516,Friday,7,5,2015,,,0,0,0
2015-05-23,d_1576,11517,Saturday,1,5,2015,,,0,0,0
2015-05-24,d_1577,11517,Sunday,2,5,2015,,,0,0,0
2015-05-25,d_1578,11517,Monday,3,5,2015,MemorialDay,National,0,0,0
2015-05-26,d_1579,11517,Tuesday,4,5,2015,,,0,0,0
2015-05-27,d_1580,11517,Wednesday,5,5,2015,,,0,0,0
2015-05-28,d_1581,11517,Thursday,6,5,2015,,,0,0,0
2015-05-29,d_1582,11517,Friday,7,5,2015,,,0,0,0
2015-05-30,d_1583,11518,Saturday,1,5,2015,,,0,0,0
2015-05-31,d_1584,11518,Sunday,2,5,2015,,,0,0,0
2015-06-01,d_1585,11518,Monday,3,6,2015,,,1,1,0
2015-06-02,d_1586,11518,Tuesday,4,6,2015,,,1,0,1
2015-06-03,d_1587,11518,Wednesday,5,6,2015,,,1,1,1
2015-06-04,d_1588,11518,Thursday,6,6,2015,NBAFinalsStart,Sporting,1,0,0
2015-06-05,d_1589,11518,Friday,7,6,2015,,,1,1,1
2015-06-06,d_1590,11519,Saturday,1,6,2015,,,1,1,1
2015-06-07,d_1591,11519,Sunday,2,6,2015,,,1,1,0
2015-06-08,d_1592,11519,Monday,3,6,2015,,,1,0,1
2015-06-09,d_1593,11519,Tuesday,4,6,2015,,,1,1,1
2015-06-10,d_1594,11519,Wednesday,5,6,2015,,,1,0,0
2015-06-11,d_1595,11519,Thursday,6,6,2015,,,0,1,1
2015-06-12,d_1596,11519,Friday,7,6,2015,,,0,1,1
2015-06-13,d_1597,11520,Saturday,1,6,2015,,,0,1,0
2015-06-14,d_1598,11520,Sunday,2,6,2015,,,0,0,1
2015-06-15,d_1599,11520,Monday,3,6,2015,,,0,1,1
2015-06-16,d_1600,11520,Tuesday,4,6,2015,NBAFinalsEnd,Sporting,0,0,0
2015-06-17,d_1601,11520,Wednesday,5,6,2015,,,0,0,0
2015-06-18,d_1602,11520,Thursday,6,6,2015,Ramadan starts,Religious,0,0,0
2015-06-19,d_1603,11520,Friday,7,6,2015,,,0,0,0
2015-06-20,d_1604,11521,Saturday,1,6,2015,,,0,0,0
2015-06-21,d_1605,11521,Sunday,2,6,2015,Father's day,Cultural,0,0,0
2015-06-22,d_1606,11521,Monday,3,6,2015,,,0,0,0
2015-06-23,d_1607,11521,Tuesday,4,6,2015,,,0,0,0
2015-06-24,d_1608,11521,Wednesday,5,6,2015,,,0,0,0
2015-06-25,d_1609,11521,Thursday,6,6,2015,,,0,0,0
2015-06-26,d_1610,11521,Friday,7,6,2015,,,0,0,0
2015-06-27,d_1611,11522,Saturday,1,6,2015,,,0,0,0
2015-06-28,d_1612,11522,Sunday,2,6,2015,,,0,0,0
2015-06-29,d_1613,11522,Monday,3,6,2015,,,0,0,0
2015-06-30,d_1614,11522,Tuesday,4,6,2015,,,0,0,0
2015-07-01,d_1615,11522,Wednesday,5,7,2015,,,1,1,0
2015-07-02,d_1616,11522,Thursday,6,7,2015,,,1,0,1
2015-07-03,d_1617,11522,Friday,7,7,2015,,,1,1,1
2015-07-04,d_1618,11523,Saturday,1,7,2015,IndependenceDay,National,1,0,0
2015-07-05,d_1619,11523,Sunday,2,7,2015,,,1,1,1
2015-07-06,d_1620,11523,Monday,3,7,2015,,,1,1,1
2015-07-07,d_1621,11523,Tuesday,4,7,2015,,,1,1,0
2015-07-08,d_1622,11523,Wednesday,5,7,2015,,,1,0,1
2015-07-09,d_1623,11523,Thursday,6,7,2015,,,1,1,1
2015-07-10,d_1624,11523,Friday,7,7,2015,,,1,0,0
2015-07-11,d_1625,11524,Saturday,1,7,2015,,,0,1,1
2015-07-12,d_1626,11524,Sunday,2,7,2015,,,0,1,1
2015-07-13,d_1627,11524,Monday,3,7,2015,,,0,1,0
2015-07-14,d_1628,11524,Tuesday,4,7,2015,,,0,0,1
2015-07-15,d_1629,11524,Wednesday,5,7,2015,,,0,1,1
2015-07-16,d_1630,11524,Thursday,6,7,2015,,,0,0,0
2015-07-17,d_1631,11524,Friday,7,7,2015,,,0,0,0
2015-07-18,d_1632,11525,Saturday,1,7,2015,Eid al-Fitr,Religious,0,0,0
2015-07-19,d_1633,11525,Sunday,2,7,2015,,,0,0,0
2015-07-20,d_1634,11525,Monday,3,7,2015,,,0,0,0
2015-07-21,d_1635,11525,Tuesday,4,7,2015,,,0,0,0
2015-07-22,d_1636,11525,Wednesday,5,7,2015,,,0,0,0
2015-07-23,d_1637,11525,Thursday,6,7,2015,,,0,0,0
2015-07-24,d_1638,11525,Friday,7,7,2015,,,0,0,0
2015-07-25,d_1639,11526,Saturday,1,7,2015,,,0,0,0
2015-07-26,d_1640,11526,Sunday,2,7,2015,,,0,0,0
2015-07-27,d_1641,11526,Monday,3,7,2015,,,0,0,0
2015-07-28,d_1642,11526,Tuesday,4,7,2015,,,0,0,0
2015-07-29,d_1643,11526,Wednesday,5,7,2015,,,0,0,0
2015-07-30,d_1644,11526,Thursday,6,7,2015,,,0,0,0
2015-07-31,d_1645,11526,Friday,7,7,2015,,,0,0,0
2015-08-01,d_1646,11527,Saturday,1,8,2015,,,1,1,0
2015-08-02,d_1647,11527,Sunday,2,8,2015,,,1,0,1
2015-08-03,d_1648,11527,Monday,3,8,2015,,,1,1,1
2015-08-04,d_1649,11527,Tuesday,4,8,2015,,,1,0,0
2015-08-05,d_1650,11527,Wednesday,5,8,2015,,,1,1,1
2015-08-06,d_1651,11527,Thursday,6,8,2015,,,1,1,1
2015-08-07,d_1652,11527,Friday,7,8,2015,,,1,1,0
2015-08-08,d_1653,11528,Saturday,1,8,2015,,,1,0,1
2015-08-09,d_1654,11528,Sunday,2,8,2015,,,1,1,1
2015-08-10,d_1655,11528,Monday,3,8,2015,,,1,0,0
2015-08-11,d_1656,11528,Tuesday,4,8,2015,,,0,1,1
2015-08-12,d_1657,11528,Wednesday,5,8,2015,,,0,1,1
2015-08-13,d_1658,11528,Thursday,6,8,2015,,,0,1,0
2015-08-14,d_1659,11528,Friday,7,8,2015,,,0,0,1
2015-08-15,d_1660,11529,Saturday,1,8,2015,,,0,1,1
2015-08-16,d_1661,11529,Sunday,2,8,2015,,,0,0,0
2015-08-17,d_1662,11529,Monday,3,8,2015,,,0,0,0
2015-08-18,d_1663,11529,Tuesday,4,8,2015,,,0,0,0
2015-08-19,d_1664,11529,Wednesday,5,8,2015,,,0,0,0
2015-08-20,d_1665,11529,Thursday,6,8,2015,,,0,0,0
2015-08-21,d_1666,11529,Friday,7,8,2015,,,0,0,0
2015-08-22,d_1667,11530,Saturday,1,8,2015,,,0,0,0
2015-08-23,d_1668,11530,Sunday,2,8,2015,,,0,0,0
2015-08-24,d_1669,11530,Monday,3,8,2015,,,0,0,0
2015-08-25,d_1670,11530,Tuesday,4,8,2015,,,0,0,0
