id,item_id,dept_id,cat_id,store_id,state_id
FOODS_3_090_CA_3_validation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA
FOODS_3_586_TX_2_validation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX
FOODS_3_586_TX_3_validation,FOODS_3_586,FOODS_3,FOODS,TX_3,TX
FOODS_3_586_CA_3_validation,FOODS_3_586,FOODS_3,FOODS,CA_3,CA
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA
FOODS_3_090_WI_3_validation,FOODS_3_090,FOODS_3,FOODS,WI_3,WI
FOODS_3_090_TX_2_validation,FOODS_3_090,FOODS_3,FOODS,TX_2,TX
FOODS_3_090_TX_3_validation,FOODS_3_090,FOODS_3,FOODS,TX_3,TX
FOODS_3_252_TX_2_validation,FOODS_3_252,FOODS_3,FOODS,TX_2,TX
FOODS_3_586_TX_1_validation,FOODS_3_586,FOODS_3,FOODS,TX_1,TX
FOODS_3_226_WI_3_validation,FOODS_3_226,FOODS_3,FOODS,WI_3,WI
FOODS_3_555_TX_2_validation,FOODS_3_555,FOODS_3,FOODS,TX_2,TX
FOODS_3_090_TX_1_validation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX
FOODS_3_120_CA_3_validation,FOODS_3_120,FOODS_3,FOODS,CA_3,CA
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,FOODS,CA_1,CA
FOODS_3_252_TX_3_validation,FOODS_3_252,FOODS_3,FOODS,TX_3,TX
FOODS_3_586_WI_3_validation,FOODS_3_586,FOODS_3,FOODS,WI_3,WI
FOODS_3_694_WI_3_validation,FOODS_3_694,FOODS_3,FOODS,WI_3,WI
FOODS_3_252_CA_3_validation,FOODS_3_252,FOODS_3,FOODS,CA_3,CA
FOODS_3_541_CA_3_validation,FOODS_3_541,FOODS_3,FOODS,CA_3,CA
FOODS_3_635_CA_3_validation,FOODS_3_635,FOODS_3,FOODS,CA_3,CA
FOODS_3_226_WI_1_validation,FOODS_3_226,FOODS_3,FOODS,WI_1,WI
FOODS_3_555_TX_3_validation,FOODS_3_555,FOODS_3,FOODS,TX_3,TX
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,FOODS,CA_1,CA
FOODS_3_377_TX_3_validation,FOODS_3_377,FOODS_3,FOODS,TX_3,TX
FOODS_3_226_WI_2_validation,FOODS_3_226,FOODS_3,FOODS,WI_2,WI
FOODS_3_555_TX_1_validation,FOODS_3_555,FOODS_3,FOODS,TX_1,TX
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,FOODS,CA_2,CA
FOODS_3_377_TX_2_validation,FOODS_3_377,FOODS_3,FOODS,TX_2,TX
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,FOODS,CA_1,CA
FOODS_3_694_WI_2_validation,FOODS_3_694,FOODS_3,FOODS,WI_2,WI
FOODS_3_555_WI_3_validation,FOODS_3_555,FOODS_3,FOODS,WI_3,WI
FOODS_3_252_CA_2_validation,FOODS_3_252,FOODS_3,FOODS,CA_2,CA
FOODS_3_252_TX_1_validation,FOODS_3_252,FOODS_3,FOODS,TX_1,TX
FOODS_3_090_CA_2_validation,FOODS_3_090,FOODS_3,FOODS,CA_2,CA
FOODS_3_318_WI_3_validation,FOODS_3_318,FOODS_3,FOODS,WI_3,WI
FOODS_3_714_CA_1_validation,FOODS_3_714,FOODS_3,FOODS,CA_1,CA
FOODS_3_090_CA_4_validation,FOODS_3_090,FOODS_3,FOODS,CA_4,CA
FOODS_3_007_WI_2_validation,FOODS_3_007,FOODS_3,FOODS,WI_2,WI
FOODS_3_587_CA_1_validation,FOODS_3_587,FOODS_3,FOODS,CA_1,CA
FOODS_3_587_TX_2_validation,FOODS_3_587,FOODS_3,FOODS,TX_2,TX
FOODS_3_234_WI_2_validation,FOODS_3_234,FOODS_3,FOODS,WI_2,WI
FOODS_3_587_TX_1_validation,FOODS_3_587,FOODS_3,FOODS,TX_1,TX
FOODS_2_360_WI_2_validation,FOODS_2_360,FOODS_2,FOODS,WI_2,WI
FOODS_3_030_TX_3_validation,FOODS_3_030,FOODS_3,FOODS,TX_3,TX
FOODS_3_714_TX_1_validation,FOODS_3_714,FOODS_3,FOODS,TX_1,TX
HOUSEHOLD_1_118_CA_3_validation,HOUSEHOLD_1_118,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA
FOODS_3_711_WI_2_validation,FOODS_3_711,FOODS_3,FOODS,WI_2,WI
FOODS_3_694_WI_1_validation,FOODS_3_694,FOODS_3,FOODS,WI_1,WI
HOUSEHOLD_1_459_CA_3_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA
HOUSEHOLD_1_334_CA_3_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA
HOUSEHOLD_1_303_CA_3_validation,HOUSEHOLD_1_303,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA
FOODS_3_090_WI_1_validation,FOODS_3_090,FOODS_3,FOODS,WI_1,WI
FOODS_3_586_CA_4_validation,FOODS_3_586,FOODS_3,FOODS,CA_4,CA
FOODS_3_586_WI_1_validation,FOODS_3_586,FOODS_3,FOODS,WI_1,WI
FOODS_3_555_CA_2_validation,FOODS_3_555,FOODS_3,FOODS,CA_2,CA
FOODS_3_714_WI_1_validation,FOODS_3_714,FOODS_3,FOODS,WI_1,WI
HOBBIES_1_234_CA_3_validation,HOBBIES_1_234,HOBBIES_1,HOBBIES,CA_3,CA
HOUSEHOLD_1_459_WI_2_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI
FOODS_1_218_CA_2_validation,FOODS_1_218,FOODS_1,FOODS,CA_2,CA
FOODS_3_080_CA_2_validation,FOODS_3_080,FOODS_3,FOODS,CA_2,CA
