id,item_id,store_id,cat_id,sell_price,last_day_units,recent_28d_units,forecast_28d_units,avg_daily_demand,proxy_stock_units,shortage_units,excess_units,sales_at_risk_inr,locked_capital_inr,stockout_score,overstock_score,action,risk_level
HOBBIES_1_354_TX_3_validation,HOBBIES_1_354,TX_3,HOBBIES,22.98,23,597,640.5131937387303,21.321428571428573,322,318.51319373873025,0.0,7319.433192116021,0.0,0.49650295090961366,0.0,REORDER NOW,Medium
FOODS_3_120_CA_3_validation,FOODS_3_120,CA_3,FOODS,4.98,98,1948,1989.914746303572,69.57142857142857,1372,617.914746303572,0.0,3077.2154365917886,0.0,0.3103672557807019,0.0,REORDER NOW,Medium
FOODS_3_120_CA_1_validation,FOODS_3_120,CA_1,FOODS,4.98,59,1140,1325.3253720594337,40.714285714285715,826,499.3253720594337,0.0,2486.64035285598,0.0,0.37647275893102533,0.0,REORDER NOW,Medium
FOODS_3_090_CA_3_validation,FOODS_3_090,CA_3,FOODS,1.6,130,3302,2812.348253128879,117.92857142857143,1820,992.3482531288792,0.0,1587.7572050062067,0.0,0.3527285511223981,0.0,REORDER NOW,Medium
FOODS_3_586_TX_2_validation,FOODS_3_586,TX_2,FOODS,1.68,75,2228,1968.3827688291374,79.57142857142857,1050,918.3827688291374,0.0,1542.8830516329508,0.0,0.4663302550245964,0.0,REORDER NOW,Medium
FOODS_3_586_TX_3_validation,FOODS_3_586,TX_3,FOODS,1.68,47,1724,1534.3386137844172,61.57142857142857,658,876.3386137844172,0.0,1472.248871157821,0.0,0.5707787232839486,0.0,REORDER NOW,Medium
FOODS_3_586_CA_3_validation,FOODS_3_586,CA_3,FOODS,1.68,78,1984,1967.0655913489989,70.85714285714286,1092,875.0655913489989,0.0,1470.110193466318,0.0,0.4446323309525423,0.0,REORDER NOW,Medium
FOODS_3_090_CA_1_validation,FOODS_3_090,CA_1,FOODS,1.6,42,1535,1486.551069817221,54.82142857142857,588,898.5510698172211,0.0,1437.6817117075539,0.0,0.6040472075541099,0.0,REORDER NOW,High
HOUSEHOLD_1_110_WI_2_validation,HOUSEHOLD_1_110,WI_2,HOUSEHOLD,3.97,26,706,698.6177796604686,25.214285714285715,364,334.6177796604686,0.0,1328.4325852520606,0.0,0.4782865578728744,0.0,REORDER NOW,Medium
FOODS_3_090_TX_3_validation,FOODS_3_090,TX_3,FOODS,1.5,66,1820,1803.0323809535025,65.0,924,879.0323809535025,0.0,1318.5485714302538,0.0,0.4872597577704781,0.0,REORDER NOW,Medium
